ty_code,ty_name_en,ty_name_ch,land_address,land_time,land_lng,land_lat,land_info,land_strong
202009,MAYSAK,美莎克,韩国庆尚南道釜山沿海,2020-09-03 01:30:00,128.71,35.12,台风“美莎克”于9月3日01时30分前后在韩国庆尚南道釜山沿海登陆,强台风
202016,NANGKA,浪卡,海南省琼海市沿海,2020-10-13 19:20:00,110.59,19.12,台风“浪卡”于10月13日19时20分前后在海南省琼海市沿海登陆,强热带风暴
202106,In-fa,烟花,浙江省舟山普陀沿海,2021-07-25 12:30:00,122.39,30.0,台风“烟花”于25日12时30分在浙江省舟山普陀沿海登陆,台风
202106,In-fa,烟花,浙江省平湖市沿海,2021-07-26 09:50:00,121.16,30.64,台风“烟花”于26日09时50分前后在浙江省平湖市沿海再次登陆,强热带风暴
202107,CEMPAKA,查帕卡,广东省阳江市江城区沿海,2021-07-20 21:50:00,111.96,21.74,台风“查帕卡”于20日21时50分在广东省阳江市江城区沿海登陆,台风
202109,LUPIT,卢碧,广东省汕头市南澳县沿海,2021-08-05 11:20:00,117.02,23.42,台风“卢碧”于5日11点20分前后在广东省汕头市南澳县沿海登陆,热带风暴
202109,LUPIT,卢碧,福建省漳州市东山县沿海,2021-08-05 16:50:00,117.37,23.57,台风“卢碧”于5日16点50分前后在福建省漳州市东山县沿海再次登陆,热带风暴
202117,Lionrock,狮子山,海南省琼海市,2021-10-08 22:50:00,110.6,19.2,台风“狮子山”于08日22时50分在海南省琼海市登陆,热带风暴
202118,Kompasu,圆规,海南省琼海市沿海,2021-10-13 15:40:00,110.58,19.16,台风“圆规”于13日下午3点40分前后在海南省琼海市沿海登陆,强热带风暴
202203,CHABA,暹芭,广东电白沿海,2022-07-02 15:00:00,111.11,21.47,台风“暹芭”于02日15时在广东电白沿海登陆,台风
202207,Mulan,木兰,广东徐闻,2022-08-10 10:50:00,110.22,20.27,台风“木兰”已于10日10时50分前后在广东徐闻登陆,热带风暴
202209,Ma-on,马鞍,广东电白沿海,2022-08-25 10:30:00,111.33,21.47,台风“马鞍”已于25日上午10时30分前后在广东电白沿海登陆,台风
202212,Muifa,梅花,舟山普陀区,2022-09-14 20:30:00,122.24,29.97,台风“梅花”已于9月14日20时30分前后在浙江省舟山普陀沿海登陆,强台风
202212,Muifa,梅花,上海奉贤沿海,2022-09-15 00:30:00,121.72,30.86,台风“梅花”已于9月15日凌晨0点30分前后在上海奉贤沿海再次登陆,台风
202212,Muifa,梅花,山东省青岛市崂山区沿海,2022-09-16 00:00:00,120.5,36.09,台风“梅花”已于9月16日凌晨0时前后在山东省青岛市崂山区沿海再次登陆,热带风暴
202212,Muifa,梅花,山东省青岛市崂山区沿海,2022-09-16 12:40:00,122.12,39.15,台风“梅花”已于9月16日12时40分前后在辽宁省大连市金普新区再次登陆,热带风暴
202214,Nanmadol,南玛都,日本九州岛指宿市沿海,2022-09-18 16:30:00,130.61,31.56,台风“南玛都”已于9月18日16点30分前后在日本九州岛指宿市沿海登陆,强台风
202222,Nalgae,尼格,广东省珠海市香洲区沿海,2022-11-03 04:50:00,113.56,22.24,台风“尼格”已于11月03日04时50分前后在广东省珠海市香洲区沿海登陆,热带低压
202304,Talim,泰利,广东省湛江市南三岛沿海,2023-07-17 22:20:00,110.61,21.18,台风“泰利”已于7月17日22点20分前后在广东省湛江市南三岛沿海登陆,台风
202304,Talim,泰利,广西北海市沿海,2023-07-18 05:45:00,109.27,21.43,台风“泰利”已于7月18日05时45分前后在广西北海市沿海再次登陆,强热带风暴
202305,Doksuri,杜苏芮,福建省晋江市沿海登陆,2023-07-28 09:55:00,118.67,24.58,台风“杜苏芮”已于7月28日9时55分前后在福建省晋江市沿海登陆,强台风
202306,Khanun,卡努,韩国庆尚南道沿海,2023-08-10 10:41:00,128.67,34.78,台风“卡努”已于8月10日10时在韩国庆尚南道沿海登陆,强热带风暴
202307,Lan,兰恩,日本和歌山县潮岬地区,2023-08-15 05:00:00,135.8,33.5,台风“兰恩”已于8月15日5时前在日本和歌山县潮岬地区登陆,强热带风暴
202309,Saola,苏拉,广东省珠海市南部沿海,2023-09-02 03:30:00,113.29,21.9,台风“苏拉”已于9月2日凌晨3点30分前后在广东省珠海市南部沿海登陆,台风
202311,Haikui,海葵,台湾省台东市沿海,2023-09-03 15:30:00,121.26,22.9,台风“海葵”已于9月3日下午3点30分前后在台湾省台东市沿海登陆,强台风
202311,Haikui,海葵,广东省饶平县沿海,2023-09-05 05:20:00,117.15,23.6,"台风“海葵”已于9月5日06时45分前后在广东省饶平县沿海再次登陆
","热带风暴
"
202316,SANBA,三巴,海南省东方市沿海,2023-10-19 09:00:00,108.68,19.19,第16号台风“三巴”已于19日上午9点钟前后在海南省东方市沿海登陆,热带风暴
202402,MALIKSI,马力斯,广东省阳江市阳西县,2024-06-01 00:55:00,111.7,21.59,台风“马力斯”已于6月1日0时55分前后在广东省阳江市阳西县登陆,热带风暴
202403,GAEMI,格美,台湾省宜兰县南澳乡沿海,2024-07-25 00:00:00,121.81,24.45,台风“格美”已于7月25日00时前后在台湾省宜兰县南澳乡沿海登陆,强台风
202403,GAEMI,格美,福建省莆田市秀屿区,2024-07-25 19:50:00,119.3,25.2,台风“格美”已于7月25日19时50分前后在福建省莆田市秀屿区登陆,台风
202404,PRAPIROON,派比安,海南省万宁市沿海,2024-07-22 01:30:00,110.27,18.67,台风“派比安”已于7月22日凌晨1点30分前后在海南省万宁市沿海登陆,强热带风暴
